"id","food_id","variation_id","option_name","option_price","restaurant_price","total_stock","stock_type","sell_count","created_at","updated_at"
"6","2180","3","Medium","260.000",NULL,"0","unlimited","0","2025-09-11 15:27:13","2025-09-11 15:27:13"
"7","2180","3","Large","364.000",NULL,"0","unlimited","0","2025-09-11 15:27:13","2025-09-11 15:27:13"
"8","2181","4","medium","260.000",NULL,"0","unlimited","0","2025-09-11 15:35:52","2025-09-11 15:35:52"
"9","2181","4","Large","364.000",NULL,"0","unlimited","0","2025-09-11 15:35:52","2025-09-11 15:35:52"
"10","2182","5","Small","198.000",NULL,"0","unlimited","0","2025-09-11 15:47:01","2025-10-23 15:07:05"
"11","2182","5","Large","426.000",NULL,"0","unlimited","0","2025-09-11 15:47:01","2025-09-11 15:47:01"
"12","2183","6","Medium","260.000",NULL,"0","unlimited","0","2025-09-11 16:06:07","2025-09-11 16:06:07"
"13","2183","6","Large","364.000",NULL,"0","unlimited","0","2025-09-11 16:06:07","2025-09-11 16:06:07"
"14","2184","7","Medium","260.000",NULL,"0","unlimited","0","2025-09-11 16:08:34","2025-09-11 16:08:34"
"15","2184","7","Large","364.000",NULL,"0","unlimited","0","2025-09-11 16:08:34","2025-09-11 16:08:34"
"16","2185","8","Regular","177.000",NULL,"0","unlimited","0","2025-09-11 16:13:13","2025-10-30 14:11:01"
"17","2185","8","Medium","343.000",NULL,"0","unlimited","0","2025-09-11 16:13:13","2025-10-30 14:11:01"
"18","2186","9","Medium","343.000",NULL,"0","unlimited","0","2025-09-11 16:16:07","2025-09-11 16:16:07"
"19","2186","9","Large","458.000",NULL,"0","unlimited","0","2025-09-11 16:16:07","2025-09-11 16:16:07"
"20","2187","10","Medium","343.000",NULL,"0","unlimited","0","2025-09-11 16:18:24","2025-09-11 16:18:24"
"21","2187","10","Large","458.000",NULL,"0","unlimited","0","2025-09-11 16:18:24","2025-09-11 16:18:24"
"22","2188","11","Medium","343.000",NULL,"0","unlimited","0","2025-09-11 16:25:31","2025-09-11 16:25:31"
"23","2188","11","Large","458.000",NULL,"0","unlimited","0","2025-09-11 16:25:31","2025-09-11 16:25:31"
"24","2189","12","Medium","374.000",NULL,"0","unlimited","0","2025-09-11 16:32:40","2025-09-11 16:32:40"
"25","2189","12","Large","458.000",NULL,"0","unlimited","0","2025-09-11 16:32:40","2025-09-11 16:32:40"
"26","2190","13","Large","541.000",NULL,"0","unlimited","0","2025-09-11 16:35:46","2025-09-11 16:35:46"
"27","2191","14","Large","541.000",NULL,"0","unlimited","0","2025-09-11 16:39:51","2025-09-11 16:39:51"
"28","2192","15","Large","541.000",NULL,"0","unlimited","0","2025-09-11 16:42:41","2025-09-11 16:42:41"
"29","2193","16","Large","676.000",NULL,"0","unlimited","0","2025-09-11 16:45:10","2025-09-11 16:45:10"
"30","2194","17","Medium","73.000",NULL,"0","unlimited","0","2025-09-11 16:51:26","2025-09-11 16:51:26"
"31","2194","17","Large","104.000",NULL,"0","unlimited","0","2025-09-11 16:51:26","2025-09-11 16:51:26"
"33","2197","18","Small","236.000",NULL,"0","unlimited","0","2025-09-11 18:50:38","2026-04-15 18:30:14"
"34","1228","19","Full","218.000",NULL,"0","unlimited","0","2025-09-14 12:13:56","2025-09-14 12:13:56"
"36","2200","21","Meal","126.000",NULL,"0","unlimited","0","2025-09-18 13:00:58","2025-09-18 13:00:58"
"37","2201","22","Meal","148.000",NULL,"0","unlimited","0","2025-09-18 13:04:11","2025-09-18 13:04:11"
"38","2202","23","Meal","159.000",NULL,"0","unlimited","0","2025-09-18 13:06:28","2025-09-18 13:06:28"
"39","2203","24","Meal","171.000",NULL,"0","unlimited","0","2025-09-18 13:08:50","2025-09-18 13:08:50"
"40","2204","25","Meal","182.000",NULL,"0","unlimited","0","2025-09-18 13:10:38","2025-09-18 13:10:38"
"41","2205","26","Meal","193.000",NULL,"0","unlimited","0","2025-09-18 13:12:11","2025-09-18 13:12:11"
"42","2234","27","Full","686.000",NULL,"0","unlimited","0","2025-09-18 15:06:20","2025-09-18 15:06:20"
"43","2235","28","Full","686.000",NULL,"0","unlimited","0","2025-09-18 15:12:50","2025-09-18 15:12:50"
"44","2236","29","Full","686.000",NULL,"0","unlimited","0","2025-09-18 15:16:03","2025-09-18 15:16:03"
"45","2237","30","Full","686.000",NULL,"0","unlimited","0","2025-09-18 15:18:32","2025-09-18 15:18:32"
"46","2238","31","Full","458.000",NULL,"0","unlimited","0","2025-09-18 15:21:43","2025-09-18 15:21:43"
"47","2239","32","Full","686.000",NULL,"0","unlimited","0","2025-09-18 15:24:56","2025-09-18 15:24:56"
"48","2240","33","Half","340.000",NULL,"0","unlimited","0","2025-09-18 16:30:38","2026-06-07 11:00:26"
"49","2240","33","Full","549.000",NULL,"0","unlimited","0","2025-09-18 16:30:38","2026-06-07 11:00:26"
"50","2241","34","Half","275.000",NULL,"0","unlimited","0","2025-09-18 16:37:38","2025-09-18 16:37:38"
"51","2241","34","Full","515.000",NULL,"0","unlimited","0","2025-09-18 16:37:38","2025-09-18 16:37:38"
"52","2257","35","Medium","156.000",NULL,"0","unlimited","0","2025-09-22 19:51:55","2026-04-15 18:11:51"
"54","2268","37","Small","225.000",NULL,"0","unlimited","0","2025-10-01 11:21:37","2026-04-15 18:28:24"
"55","2273","38","Half","115.000",NULL,"0","unlimited","0","2025-10-02 10:22:40","2026-05-21 16:00:01"
"56","2269","39","Small","144.000",NULL,"0","unlimited","0","2025-10-02 11:07:25","2026-04-15 18:09:21"
"57","1806","40","Burger","52.000",NULL,"0","unlimited","0","2025-10-02 11:09:07","2026-04-15 17:11:49"
"58","1807","41","Burger","64.000",NULL,"0","unlimited","0","2025-10-02 11:11:38","2026-04-15 17:13:37"
"59","1808","42","Burger","75.000",NULL,"0","unlimited","0","2025-10-02 11:13:09","2026-04-15 17:15:18"
"60","2265","43","Small","179.000",NULL,"0","unlimited","0","2025-10-02 11:14:00","2026-04-15 18:14:53"
"61","1809","44","Burger","87.000",NULL,"0","unlimited","0","2025-10-02 11:14:15","2026-04-15 17:22:44"
"62","2266","45","Small","190.000",NULL,"0","unlimited","0","2025-10-02 11:15:28","2026-04-15 18:18:18"
"63","2270","46","Small","190.000",NULL,"0","unlimited","0","2025-10-02 11:17:20","2026-04-15 18:21:11"
"64","2267","47","Small","202.000",NULL,"0","unlimited","0","2025-10-02 11:19:40","2026-04-15 18:23:09"
"65","1810","48","Burger","81.000",NULL,"0","unlimited","0","2025-10-02 11:20:09","2026-04-15 17:25:53"
"66","1811","49","Burger","92.000",NULL,"0","unlimited","0","2025-10-02 11:21:08","2026-04-15 17:31:20"
"67","1812","50","Burger","92.000",NULL,"0","unlimited","0","2025-10-02 11:22:09","2026-04-15 17:35:27"
"68","1813","51","Burger","92.000",NULL,"0","unlimited","0","2025-10-02 11:26:45","2026-04-15 17:38:05"
"69","1814","52","Burger","104.000",NULL,"0","unlimited","0","2025-10-02 11:27:45","2026-04-15 17:40:07"
"70","2272","53","Small","258.000",NULL,"0","unlimited","0","2025-10-02 11:28:36","2026-04-15 18:31:51"
"72","1816","55","Burger","92.000",NULL,"0","unlimited","0","2025-10-02 11:30:17","2026-04-15 17:45:19"
"73","1817","56","Burger","92.000",NULL,"0","unlimited","0","2025-10-02 11:31:19","2026-04-15 17:47:41"
"74","2275","57","Small","225.000",NULL,"0","unlimited","0","2025-10-02 11:33:33","2026-04-15 18:03:38"
"75","1818","58","Burger","98.000",NULL,"0","unlimited","0","2025-10-02 11:34:21","2026-04-15 17:49:31"
"76","1819","59","Burger","110.000",NULL,"0","unlimited","0","2025-10-02 11:35:22","2026-04-15 17:51:56"
"77","1820","60","Burger","115.000",NULL,"0","unlimited","0","2025-10-02 11:36:10","2026-04-15 16:33:50"
"78","1821","61","Burger","121.000",NULL,"0","unlimited","0","2025-10-02 11:38:50","2026-04-15 16:36:25"
"79","1822","62","Burger","121.000",NULL,"0","unlimited","0","2025-10-02 11:39:49","2026-04-15 17:03:13"
"80","1823","63","Burger","121.000",NULL,"0","unlimited","0","2025-10-02 11:40:52","2026-04-15 17:07:51"
"81","1824","64","Burger","156.000",NULL,"0","unlimited","0","2025-10-02 11:41:30","2026-04-15 17:09:51"
"82","1825","65","Sandwich","75.000",NULL,"0","unlimited","0","2025-10-02 11:49:08","2026-04-16 13:37:11"
"83","1826","66","Sandwich","70.000",NULL,"0","unlimited","0","2025-10-02 11:50:04","2026-04-16 13:50:05"
"84","1827","67","Sandwich","92.000",NULL,"0","unlimited","0","2025-10-02 11:50:42","2026-04-16 13:54:14"
"85","1828","68","Sandwich","92.000",NULL,"0","unlimited","0","2025-10-02 11:52:30","2026-04-16 13:55:46"
"86","1829","69","Sandwich","87.000",NULL,"0","unlimited","0","2025-10-02 11:54:18","2026-04-16 13:58:28"
"87","1830","70","Sandwich","104.000",NULL,"0","unlimited","0","2025-10-02 11:56:35","2026-04-16 14:00:39"
"88","2287","71","500 Gms","92.000",NULL,"0","unlimited","0","2025-10-04 15:18:56","2025-10-04 15:18:56"
"89","2287","71","1Kg","183.000",NULL,"0","unlimited","0","2025-10-04 15:18:56","2025-10-04 15:18:56"
"90","2288","72","500 gms","114.000",NULL,"0","unlimited","0","2025-10-04 15:20:45","2025-10-04 15:20:45"
"91","2288","72","1Kg","229.000",NULL,"0","unlimited","0","2025-10-04 15:20:45","2025-10-04 15:20:45"
"92","2289","73","500 Gms","114.000",NULL,"0","unlimited","0","2025-10-04 15:23:01","2025-10-04 15:23:01"
"93","2289","73","1Kg","229.000",NULL,"0","unlimited","0","2025-10-04 15:23:01","2025-10-04 15:23:01"
"94","575","74","Full","489.000",NULL,"0","unlimited","0","2025-10-04 16:11:24","2025-10-04 16:11:24"
"95","2290","75","500gms","114.000",NULL,"0","unlimited","0","2025-10-05 11:59:42","2025-10-05 11:59:42"
"96","2290","75","1kg","229.000",NULL,"0","unlimited","0","2025-10-05 11:59:42","2025-10-05 11:59:42"
"97","2291","76","500gms","137.000",NULL,"0","unlimited","0","2025-10-05 12:06:48","2025-10-05 12:06:48"
"98","2291","76","1kg","275.000",NULL,"0","unlimited","0","2025-10-05 12:06:48","2025-10-05 12:06:48"
"99","2292","77","500gm","275.000",NULL,"0","unlimited","0","2025-10-05 12:14:19","2025-10-05 12:14:19"
"100","2292","77","1kg","549.000",NULL,"0","unlimited","0","2025-10-05 12:14:19","2025-10-05 12:14:19"
"101","2293","78","500gm","286.000",NULL,"0","unlimited","0","2025-10-05 12:17:36","2025-10-05 12:17:36"
"102","2293","78","1kg","572.000",NULL,"0","unlimited","0","2025-10-05 12:17:36","2025-10-05 12:17:36"
"103","2294","79","500gm","275.000",NULL,"0","unlimited","0","2025-10-05 12:20:25","2025-10-05 12:20:25"
"104","2294","79","1kg","549.000",NULL,"0","unlimited","0","2025-10-05 12:20:25","2025-10-05 12:20:25"
"105","2295","80","500gm","275.000",NULL,"0","unlimited","0","2025-10-05 12:24:03","2025-10-05 12:24:03"
"106","2295","80","1kg","549.000",NULL,"0","unlimited","0","2025-10-05 12:24:03","2025-10-05 12:24:03"
"107","2296","81","500gm","275.000",NULL,"0","unlimited","0","2025-10-05 12:28:06","2025-10-05 12:28:06"
"108","2296","81","1kg","549.000",NULL,"0","unlimited","0","2025-10-05 12:28:06","2025-10-05 12:28:06"
"109","2297","82","500gm","275.000",NULL,"0","unlimited","0","2025-10-05 12:31:24","2025-10-05 12:31:24"
"110","2297","82","1kg","549.000",NULL,"0","unlimited","0","2025-10-05 12:31:24","2025-10-05 12:31:24"
"111","2298","83","500gm","172.000",NULL,"0","unlimited","0","2025-10-05 12:35:33","2025-10-05 12:35:33"
"112","2298","83","1kg","343.000",NULL,"0","unlimited","0","2025-10-05 12:35:33","2025-10-05 12:35:33"
"117","2309","86","500gm","160.000",NULL,"0","unlimited","0","2025-10-06 11:31:57","2025-10-06 11:31:57"
"118","2309","86","1kg","320.000",NULL,"0","unlimited","0","2025-10-06 11:31:57","2025-10-06 11:31:57"
"119","2310","87","500gm","160.000",NULL,"0","unlimited","0","2025-10-06 11:35:45","2025-10-06 11:35:45"
"120","2310","87","1kg","320.000",NULL,"0","unlimited","0","2025-10-06 11:35:45","2025-10-06 11:35:45"
"121","2312","88","Full","541.000",NULL,"0","unlimited","0","2025-10-07 20:41:44","2025-10-07 20:41:44"
"130","2325","93","Medium","80.000",NULL,"0","unlimited","0","2025-10-11 14:12:10","2025-10-11 14:12:10"
"131","2325","93","Large","103.000",NULL,"0","unlimited","0","2025-10-11 14:12:10","2025-10-11 14:12:10"
"132","2326","94","Small","47.000",NULL,"0","unlimited","0","2025-10-11 14:15:46","2026-02-10 12:31:38"
"133","2326","94","Medium","57.000",NULL,"0","unlimited","0","2025-10-11 14:15:46","2026-02-10 12:31:38"
"148","2339","102","Aloo Tikki Burger","115.000",NULL,"0","unlimited","0","2025-10-11 17:21:11","2025-10-11 17:21:11"
"149","2415","103","Medium","378.000",NULL,"0","unlimited","0","2025-10-23 19:03:57","2025-10-23 19:03:57"
"150","2415","103","Large","492.000",NULL,"0","unlimited","0","2025-10-23 19:03:57","2025-10-23 19:03:57"
"155","2434","105","Small","137.000",NULL,"0","unlimited","0","2025-10-25 13:39:17","2025-10-25 13:39:17"
"156","2434","105","Medium","283.000",NULL,"0","unlimited","0","2025-10-25 13:39:17","2025-10-25 13:39:17"
"157","2434","105","Large","435.000",NULL,"0","unlimited","0","2025-10-25 13:39:17","2025-10-25 13:39:17"
"158","2446","106","Regular","252.000",NULL,"0","unlimited","0","2025-10-25 17:16:08","2025-10-25 17:16:08"
"159","2446","106","Medium","400.000",NULL,"0","unlimited","0","2025-10-25 17:16:08","2025-10-25 17:16:08"
"160","2446","106","Large","515.000",NULL,"0","unlimited","0","2025-10-25 17:16:08","2025-10-25 17:16:08"
"161","2447","107","Regular","252.000",NULL,"0","unlimited","0","2025-10-25 17:20:46","2025-10-25 17:20:46"
"162","2447","107","Medium","400.000",NULL,"0","unlimited","0","2025-10-25 17:20:46","2025-10-25 17:20:46"
"163","2447","107","Large","515.000",NULL,"0","unlimited","0","2025-10-25 17:20:46","2025-10-25 17:20:46"
"164","2448","108","Regular","320.000",NULL,"0","unlimited","0","2025-10-25 17:30:48","2025-10-25 17:30:48"
"165","2448","108","Medium","469.000",NULL,"0","unlimited","0","2025-10-25 17:30:48","2025-10-25 17:30:48"
"166","2448","108","Large","583.000",NULL,"0","unlimited","0","2025-10-25 17:30:48","2025-10-25 17:30:48"
"167","2449","109","Regular","320.000",NULL,"0","unlimited","0","2025-10-25 17:36:09","2025-10-25 17:36:09"
"168","2449","109","Medium","469.000",NULL,"0","unlimited","0","2025-10-25 17:36:09","2025-10-25 17:36:09"
"169","2449","109","Large","583.000",NULL,"0","unlimited","0","2025-10-25 17:36:09","2025-10-25 17:36:09"
"170","2450","110","Regular","343.000",NULL,"0","unlimited","0","2025-10-25 17:40:16","2025-10-25 17:40:16"
"171","2450","110","Medium","503.000",NULL,"0","unlimited","0","2025-10-25 17:40:16","2025-10-25 17:40:16"
"172","2450","110","Large","618.000",NULL,"0","unlimited","0","2025-10-25 17:40:16","2025-10-25 17:40:16"
"173","2494","111","Regular","114.000",NULL,"0","unlimited","0","2025-10-29 11:57:12","2025-10-29 11:57:12"
"174","2494","111","Medium","240.000",NULL,"0","unlimited","0","2025-10-29 11:57:12","2025-10-29 11:57:12"
"175","2494","111","Large","355.000",NULL,"0","unlimited","0","2025-10-29 11:57:12","2025-10-29 11:57:12"
"176","2497","112","Regular","148.000",NULL,"0","unlimited","0","2025-10-29 12:03:35","2025-10-29 12:03:35"
"177","2497","112","Medium","289.000",NULL,"0","unlimited","0","2025-10-29 12:03:35","2025-10-29 12:03:35"
"178","2497","112","Large","398.000",NULL,"0","unlimited","0","2025-10-29 12:03:35","2025-10-29 12:03:35"
"180","2500","113","Regular","148.000",NULL,"0","unlimited","0","2025-10-29 12:14:00","2025-10-29 12:14:00"
"181","2500","113","Medium","289.000",NULL,"0","unlimited","0","2025-10-29 12:14:00","2025-10-29 12:14:00"
"182","2500","113","Large","398.000",NULL,"0","unlimited","0","2025-10-29 12:14:00","2025-10-29 12:14:00"
"184","2504","114","Regular","148.000",NULL,"0","unlimited","0","2025-10-29 12:20:04","2025-10-29 12:20:04"
"185","2504","114","Medium","289.000",NULL,"0","unlimited","0","2025-10-29 12:20:04","2025-10-29 12:20:04"
"186","2504","114","Large","398.000",NULL,"0","unlimited","0","2025-10-29 12:20:04","2025-10-29 12:20:04"
"188","2513","115","Full","173.000",NULL,"0","unlimited","0","2025-10-29 13:03:50","2026-05-22 12:38:17"
"189","2513","115","Half","92.000",NULL,"0","unlimited","0","2025-10-29 13:03:50","2026-05-22 12:38:17"
"190","2514","116","Full","173.000",NULL,"0","unlimited","0","2025-10-29 13:07:35","2026-05-22 12:39:04"
"191","2514","116","Half","92.000",NULL,"0","unlimited","0","2025-10-29 13:07:35","2026-05-22 12:39:04"
"192","2516","117","Full","173.000",NULL,"0","unlimited","0","2025-10-29 13:10:23","2026-05-22 12:39:22"
"193","2516","117","Half","92.000",NULL,"0","unlimited","0","2025-10-29 13:10:23","2026-05-22 12:39:22"
"194","2518","118","Full","173.000",NULL,"0","unlimited","0","2025-10-29 13:13:16","2026-05-22 12:39:39"
"195","2518","118","Half","92.000",NULL,"0","unlimited","0","2025-10-29 13:13:16","2026-05-22 12:39:39"
"196","2521","119","Full","173.000",NULL,"0","unlimited","0","2025-10-29 13:19:54","2026-05-22 12:39:56"
"197","2521","119","Half","92.000",NULL,"0","unlimited","0","2025-10-29 13:19:54","2026-05-22 12:39:56"
"198","2522","120","Full","184.000",NULL,"0","unlimited","0","2025-10-29 13:27:45","2026-05-22 12:40:45"
"199","2522","120","Half","92.000",NULL,"0","unlimited","0","2025-10-29 13:27:45","2026-05-22 12:40:45"
"200","2525","121","Full","184.000",NULL,"0","unlimited","0","2025-10-29 13:33:43","2026-05-22 12:41:06"
"201","2525","121","Half","92.000",NULL,"0","unlimited","0","2025-10-29 13:33:43","2026-05-22 12:41:06"
"202","2538","122","Regular","170.000",NULL,"0","unlimited","0","2025-10-29 15:40:21","2025-10-29 15:40:21"
"203","2538","122","Medium","355.000",NULL,"0","unlimited","0","2025-10-29 15:40:21","2025-10-29 15:40:21"
"204","2538","122","Large","535.000",NULL,"0","unlimited","0","2025-10-29 15:40:21","2025-10-29 15:40:21"
"206","2539","123","Regular","170.000",NULL,"0","unlimited","0","2025-10-29 16:03:08","2025-10-29 16:03:08"
"207","2539","123","Medium","355.000",NULL,"0","unlimited","0","2025-10-29 16:03:08","2025-10-29 16:03:08"
"208","2539","123","Large","535.000",NULL,"0","unlimited","0","2025-10-29 16:03:09","2025-10-29 16:03:09"
"210","2540","124","Regular","170.000",NULL,"0","unlimited","0","2025-10-29 16:10:09","2025-10-29 16:10:09"
"211","2540","124","Medium","355.000",NULL,"0","unlimited","0","2025-10-29 16:10:09","2025-10-29 16:10:09"
"212","2540","124","Large","535.000",NULL,"0","unlimited","0","2025-10-29 16:10:09","2025-10-29 16:10:09"
